,Waktu,kamar,kamar2,dapur,toilet,teras,ruangtamu
194,1020,1,2,1,1,1,2
195,1021,1,2,1,2,1,2
196,1022,1,2,2,2,1,2
197,1060,2,2,2,2,1,2
198,1061,2,2,2,2,2,2
199,1080,2,2,2,2,2,2
200,1140,2,2,2,2,2,2
201,1200,2,2,2,2,2,2
202,1260,2,2,1,2,2,2
203,1320,2,2,2,2,2,2
204,1322,2,1,2,2,2,2
205,1323,2,1,2,2,2,1
206,1324,2,1,1,2,2,1
207,1380,2,1,1,2,2,1
208,0,2,1,1,2,2,1
209,60,2,1,1,2,2,1
210,120,2,1,1,2,2,1
211,180,2,1,1,2,2,1
212,240,2,1,1,2,2,1
213,300,2,1,1,2,2,1
214,302,2,2,1,2,2,1
215,303,2,2,2,2,2,1
216,360,2,2,2,2,2,1
217,361,2,2,2,2,1,1
218,420,2,2,2,2,1,1
219,452,1,2,2,2,1,1
220,453,1,2,1,2,1,1
221,480,1,2,1,2,1,1
222,481,1,1,1,2,1,1
223,482,1,1,1,1,1,1
224,540,1,1,1,1,1,1
225,600,1,1,1,1,1,1
226,660,1,1,1,1,1,1
227,720,1,1,1,1,1,1
228,736,1,1,2,1,1,1
229,780,1,1,2,1,1,1
230,810,1,1,1,1,1,1
231,840,1,1,1,1,1,1
232,900,1,1,1,1,1,1
233,960,1,1,1,1,1,1
234,990,1,2,1,1,1,1
235,991,1,2,1,1,1,2
236,1022,1,2,2,2,1,2
237,1023,1,2,2,2,1,2
238,1064,2,2,2,2,1,2
239,1063,2,2,2,2,2,2
240,1080,2,2,2,2,2,2
241,1140,2,2,2,2,2,2
242,1200,2,2,2,2,2,2
243,1260,2,2,2,2,2,2
244,1320,2,2,2,2,2,2
245,1322,2,1,2,2,2,2
246,1323,2,1,2,2,2,1
247,1325,2,1,1,2,2,1
248,1380,2,1,1,2,2,1
