,Waktu,dapur,kamar,kamar2,ruangtamu,teras,toilet
194,1020,2,1,2,2,1,1
195,1021,2,1,2,2,1,2
196,1060,2,2,2,2,1,2
197,1061,2,2,2,2,2,2
198,1080,2,2,2,2,2,2
199,1140,2,2,2,2,2,2
200,1200,2,2,2,2,2,2
201,1260,2,2,2,2,2,2
202,1320,2,2,2,2,2,2
203,1321,2,2,1,2,2,2
204,1322,2,2,1,1,2,2
205,1323,1,2,1,1,2,2
206,1380,1,2,1,1,2,2
207,0,1,2,1,1,2,2
208,60,1,2,1,1,2,2
209,120,1,2,1,1,2,2
210,180,1,2,1,1,2,2
211,240,1,2,1,1,2,2
212,300,1,2,1,1,2,2
213,302,1,2,2,1,2,2
214,303,2,2,2,1,2,2
215,360,2,2,2,1,2,2
216,361,2,2,2,1,1,2
217,420,2,2,2,1,1,2
218,451,2,1,2,1,1,2
219,452,1,1,2,1,1,2
220,480,1,1,2,1,1,2
221,484,1,1,1,1,1,2
222,485,1,1,1,1,1,1
223,540,1,1,1,1,1,1
224,600,1,1,1,1,1,1
225,660,1,1,1,1,1,1
226,720,1,1,1,1,1,1
227,735,2,1,1,1,1,1
228,780,2,1,1,1,1,1
229,810,1,1,1,1,1,1
230,840,1,1,1,1,1,1
231,900,1,1,1,1,1,1
232,960,1,1,1,1,1,1
233,995,1,1,2,1,1,1
234,997,1,1,2,2,1,1
235,1020,1,1,2,2,1,1
236,1021,1,1,2,2,1,2
237,1022,2,1,2,2,1,2
238,1060,2,2,2,2,1,2
239,1061,2,2,2,2,2,2
240,1080,2,2,2,2,2,2
241,1140,2,2,2,2,2,2
242,1200,2,2,2,2,2,2
243,1260,1,2,2,2,2,2
244,1320,2,2,2,2,2,2
245,1322,2,2,1,2,2,2
246,1323,2,2,1,1,2,2
247,1324,1,2,1,1,2,2
248,1380,1,2,1,1,2,2
249,0,1,2,1,1,2,2
250,60,1,2,1,1,2,2
251,120,1,2,1,1,2,2
252,180,1,2,1,1,2,2
253,240,1,2,1,1,2,2
254,300,1,2,1,1,2,2
255,302,1,2,2,1,2,2
256,303,2,2,2,1,2,2
257,360,2,2,2,1,2,2
258,361,2,2,2,1,1,2
259,420,2,2,2,1,1,2
260,452,2,1,2,1,1,2
261,453,1,1,2,1,1,2
262,480,1,1,2,1,1,2
263,481,1,1,1,1,1,2
264,482,1,1,1,1,1,1
265,540,1,1,1,1,1,1
266,600,1,1,1,1,1,1
267,660,1,1,1,1,1,1
268,720,1,1,1,1,1,1
269,736,2,1,1,1,1,1
270,780,2,1,1,1,1,1
271,810,1,1,1,1,1,1
272,840,1,1,1,1,1,1
273,900,1,1,1,1,1,1
274,960,1,1,1,1,1,1
275,990,1,1,2,1,1,1
276,991,1,1,2,2,1,1
277,1022,2,1,2,2,1,2
278,1023,2,1,2,2,1,2
279,1064,2,2,2,2,1,2
280,1063,2,2,2,2,2,2
281,1080,2,2,2,2,2,2
282,1140,2,2,2,2,2,2
283,1200,2,2,2,2,2,2
284,1260,2,2,2,2,2,2
285,1320,2,2,2,2,2,2
286,1322,2,2,1,2,2,2
287,1323,2,2,1,1,2,2
288,1325,1,2,1,1,2,2
289,1380,1,2,1,1,2,2
290,0,1,2,1,1,2,2
291,60,1,2,1,1,2,2
292,120,1,2,1,1,2,2
293,180,1,2,1,1,2,2
294,240,1,2,1,1,2,2
295,300,1,2,1,1,2,2
296,300,1,2,2,1,2,2
297,301,2,2,2,1,2,2
298,360,2,2,2,1,2,2
299,361,2,2,2,1,1,2
300,420,2,2,2,1,1,2
301,451,2,1,2,1,1,2
302,451,1,1,2,1,1,2
303,480,1,1,2,1,1,2
304,496,1,1,1,1,1,2
305,496,1,1,1,1,1,1
306,540,1,1,1,1,1,1
307,600,1,1,1,1,1,1
308,660,1,1,1,1,1,1
309,720,1,1,1,1,1,1
310,745,2,1,1,1,1,1
311,780,2,1,1,1,1,1
312,809,1,1,1,1,1,1
313,840,1,1,1,1,1,1
314,900,1,1,1,1,1,1
315,960,1,1,1,1,1,1
316,999,1,1,2,1,1,1
317,999,1,1,2,2,1,1
318,1020,1,1,2,2,1,1
319,1021,2,1,2,2,1,1
320,1021,2,1,2,2,1,2
321,1025,2,1,2,2,2,2
322,1072,2,2,2,2,2,2
323,1080,2,2,2,2,2,2
324,1140,2,2,2,2,2,2
325,1200,2,2,2,2,2,2
326,1260,2,2,2,2,2,2
327,1320,2,2,2,2,2,2
328,1331,2,2,1,2,2,2
329,1332,2,2,2,1,2,2
330,1333,1,2,2,1,2,2
331,1380,1,2,1,1,2,2
332,0,1,2,1,1,2,2
333,60,1,2,1,1,2,2
334,120,1,2,1,1,2,2
335,180,1,2,1,1,2,2
336,240,1,2,1,1,2,2
337,300,1,2,1,1,2,2
338,301,1,2,2,1,2,2
339,302,2,2,2,1,2,2
340,360,2,2,2,1,2,2
341,361,2,2,2,1,1,2
342,420,2,2,2,1,1,2
343,455,2,1,2,1,1,2
344,456,1,1,2,1,1,2
