,Waktu,dapur,kamar,kamar2,ruangtamu,teras,toilet
847,900,1,1,1,1,1,1
848,960,1,1,1,1,1,1
849,992,1,1,2,1,1,1
850,993,1,1,2,2,1,1
851,1020,1,1,2,2,1,1
852,1022,2,1,2,2,1,1
853,1023,2,1,2,2,1,2
854,1061,2,2,2,2,1,2
855,1062,2,2,2,2,2,2
856,1080,2,2,2,2,2,2
857,1140,2,2,2,2,2,2
858,1200,2,2,2,2,2,2
859,1260,2,2,2,2,2,2
860,1320,2,2,2,2,2,2
861,1323,2,2,1,2,2,2
862,1324,2,2,1,1,2,2
863,1325,1,2,1,1,2,2
864,1380,1,2,1,1,2,2
